Player,Tm,Games,PTS,TRB,AST,Cluster
Jared Butler,WAS,32,6.875,1.28125,2.5625,0
Ryan Dunn,PHO,46,6.760869565217392,3.4565217391304346,0.9130434782608696,0
Ron Holland,DET,52,6.326923076923077,2.7115384615384617,0.8269230769230769,0
KJ Simpson,CHO,19,6.2105263157894735,2.263157894736842,2.263157894736842,0
Shake Milton,BRK,39,6.17948717948718,1.8461538461538465,2.102564102564102,0
Terance Mann,LAC,37,6.027027027027027,2.891891891891892,1.5945945945945943,0
Matas Buzelis,CHI,50,5.96,2.84,0.44,0
Jamal Shead,TOR,46,5.869565217391305,1.173913043478261,3.5869565217391304,0
Marcus Sasser,DET,41,5.853658536585366,1.2439024390243902,2.317073170731707,0
Talen Horton-Tucker,CHI,40,5.85,1.7,1.325,0
Ben Sheppard,IND,36,5.777777777777778,2.555555555555556,1.2777777777777777,0
Keaton Wallace,ATL,24,5.75,1.4583333333333333,2.2916666666666665,0
Quenton Jackson,IND,18,5.666666666666667,1.5,1.7222222222222223,0
Rob Dillingham,MIN,27,5.666666666666667,1.1111111111111112,2.333333333333333,0
Seth Curry,CHO,42,5.595238095238095,1.4523809523809523,0.6428571428571429,0
Jamison Battle,TOR,36,5.555555555555555,1.8333333333333333,0.8888888888888888,0
Kenrich Williams,OKC,40,5.525,3.275,1.05,0
Jeremiah Robinson-Earl,NOP,42,5.5,4.714285714285714,1.2142857142857142,0
Lindy Waters,GSW,24,5.5,2.625,1.3333333333333333,0
Lindy Waters III,GSW,14,5.5,2.4285714285714284,0.7142857142857143,0
Kevin Love,MIA,19,5.473684210526316,4.052631578947368,1.0,0
Ricky Council,PHI,22,5.454545454545454,2.0454545454545454,0.7272727272727273,0
DaQuan Jeffries,CHO,18,5.388888888888889,2.9444444444444446,1.1666666666666667,0
Gabe Vincent,LAL,42,5.380952380952381,1.261904761904762,1.261904761904762,0
Isaiah Wong,CHO,18,5.333333333333333,1.6666666666666667,1.4444444444444444,0
Jonathan Mogbo,TOR,39,5.307692307692308,4.153846153846154,1.5897435897435896,0
Kobe Bufkin,ATL,10,5.3,2.1,1.7,0
Kyle Anderson,GSW,36,5.25,3.055555555555556,2.25,0
Monte Morris,PHO,39,4.974358974358975,1.4102564102564104,1.6666666666666667,0
Ryan Rollins,MIL,34,4.970588235294118,1.5588235294117647,1.2058823529411764,0
Tidjane Salaün ,CHO,27,4.962962962962963,4.185185185185185,1.1111111111111112,0
Jordan Miller,LAC,29,4.896551724137931,1.793103448275862,1.0689655172413792,0
Marvin Bagley,WAS,19,4.894736842105263,2.9473684210526314,0.3684210526315789,0
Jaylen Clark,MIN,10,4.8,1.5,0.5,0
Trevelin Queen,ORL,23,4.739130434782608,1.7391304347826086,1.391304347826087,0
Sandro Mamukelashvili,SAS,31,4.709677419354839,2.419354838709677,0.4838709677419355,0
Gary Payton,GSW,28,4.642857142857143,2.7857142857142856,1.2142857142857142,0
Zach Collins,SAS,36,4.638888888888889,2.805555555555556,1.4444444444444444,0
Malaki Branham,SAS,30,4.533333333333333,1.1,0.8666666666666667,0
David Roddy,ATL,27,4.518518518518518,2.592592592592593,1.1111111111111112,0
Wendell Moore,DET,13,4.461538461538462,3.230769230769231,1.3846153846153846,0
Jett Howard,ORL,44,4.431818181818182,1.2045454545454546,0.5909090909090909,0
Tre Jones,SAS,28,4.392857142857143,2.071428571428572,3.7142857142857135,0
Reggie Jackson,PHI,31,4.387096774193548,1.3548387096774193,1.4516129032258065,0
Andre Jackson Jr.,MIL,19,4.368421052631579,3.421052631578948,1.4210526315789471,0
Antonio Reeves,NOP,20,4.3,0.9,0.65,0
Pat Connaughton,MIL,30,4.3,2.7333333333333334,1.6666666666666667,0
Daniel Theis,NOP,38,4.2631578947368425,4.315789473684211,1.5789473684210529,0
Julian Phillips,CHI,50,4.26,2.0,0.4,0
Aaron Holiday,HOU,36,4.222222222222222,0.9444444444444444,1.1944444444444444,0
Kyle Lowry,PHI,32,4.15625,2.0,2.875,0
Patty Mills,UTA,18,4.111111111111111,1.1666666666666667,1.2222222222222223,0
Jeff Green,HOU,14,4.071428571428571,1.2857142857142858,0.2142857142857142,0
Cam Spencer,MEM,10,4.0,1.7,1.6,0
Gui Santos,GSW,26,4.0,2.576923076923077,1.1538461538461535,0
