Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Tm,Games,3PT_Volume_Eff,3PT_per_Min,FT_Volume_Eff,AST_TOV_Ratio,AST_per_Min,Defensive_Impact,Defense_per_Min,Total_Rebounding,REB_per_Min,PTS_per_FGA,PTS_per_Min,TS%,Usage_Rate,Cluster_DBSCAN
Shai Gilgeous-Alexander,34.0744,11.38,21.5,0.53248,1.98,5.76,0.3671999999999999,7.7,8.54,0.90488,0.9,4.32,5.22,5.9,1.94,1.0,2.68,2.2,32.44,26.742,OKC,50,2.115072,0.0579381057165597,7.727675199999999,2.122302158273381,0.1726438503675265,2.94,0.0860293084882251,5.220000000000001,0.1527459150709303,1.5018518518518515,0.949248560325858,0.6409141917842861,0.8175008193267476,-1
Giannis Antetokounmpo,34.94547619047619,12.642857142857142,20.857142857142858,0.6144761904761905,0.1428571428571428,0.7619047619047619,0.0714285714285714,6.190476190476191,10.738095238095235,0.538047619047619,2.333333333333333,10.0,12.333333333333334,5.976190476190476,0.7857142857142857,1.3571428571428572,3.452380952380953,2.452380952380953,31.61904761904762,26.37619047619048,MIL,42,0.0544217687074829,0.0040763361890332,5.777606575963718,1.6823056300268096,0.1705267305745595,2.142857142857143,0.0611450428354994,12.333333333333334,0.3519236909865413,1.5087480118154963,0.9022290765060365,0.6167908298809147,0.8284745670591273,-1
Nikola Jokić,36.23217391304348,11.282608695652174,19.717391304347824,0.5858695652173913,2.0869565217391304,4.5,0.4984782608695652,5.043478260869565,6.195652173913044,0.7976521739130434,3.0217391304347827,9.673913043478262,12.695652173913045,10.326086956521738,1.826086956521739,0.6739130434782609,3.0869565217391304,2.0869565217391304,29.695652173913043,30.567391304347822,DEN,46,2.243152173913044,0.0574410033028576,4.941975425330813,3.2401091405184173,0.2842132975922645,2.5,0.0688095352065482,12.695652173913045,0.3494327700923842,1.4984642387011848,0.8173376094969124,0.6600947134435102,0.702694940404959,-1
Anthony Davis,34.27428571428571,9.523809523809524,18.02380952380953,0.5169761904761905,0.6666666666666666,2.238095238095238,0.2325238095238095,6.023809523809524,7.642857142857143,0.7229761904761904,2.8095238095238093,9.047619047619047,11.857142857142858,3.357142857142857,1.2857142857142858,2.142857142857143,2.2142857142857144,1.9523809523809523,25.73809523809524,23.104761904761904,LAL,42,0.5204104308390023,0.0193943423932618,5.525603741496599,1.4506172839506173,0.0976643670517829,3.428571428571429,0.0997423323082038,11.857142857142858,0.3449422325658715,1.4201261166579082,0.7487601473970023,0.6003287646888952,0.6865874269248886,-1
Joel Embiid,29.892666666666667,7.866666666666666,17.333333333333332,0.4344,1.2,3.8,0.3688666666666667,7.666666666666667,8.733333333333333,0.8180666666666667,1.7333333333333334,6.333333333333333,8.066666666666666,4.4,0.8,1.0,3.2,2.2666666666666666,24.6,18.773333333333333,PHI,15,1.4016933333333332,0.0400097801684856,7.144448888888888,1.3333333333333333,0.1467025272844473,1.8,0.0600146702527284,8.066666666666666,0.26895463335482,1.411089866156788,0.8202004934539554,0.5794779986808631,0.812732001155838,-1
Victor Wembanyama,33.06767441860465,8.930232558139535,18.813953488372093,0.4658372093023255,3.13953488372093,8.906976744186046,0.3401162790697674,3.4186046511627906,4.069767441860465,0.7372093023255814,1.813953488372093,9.093023255813954,10.906976744186046,3.627906976744186,1.069767441860465,3.883720930232558,3.302325581395349,2.2790697674418605,24.41860465116279,20.67209302325581,SAS,43,3.02940778799351,0.0946564671401827,3.00027041644132,1.066302118933698,0.1093808064731,4.953488372093023,0.1493468703767327,10.906976744186046,0.3288435784351532,1.2910365178900771,0.7362169666458656,0.5911163654788042,0.7207914682970951,-1
Karl-Anthony Towns,34.71717391304348,8.782608695652174,16.5,0.5276086956521739,1.9565217391304348,4.630434782608695,0.4187826086956521,4.804347826086956,5.717391304347826,0.8558043478260869,3.1739130434782608,10.434782608695652,13.608695652173912,3.3260869565217392,0.9565217391304348,0.8043478260869565,2.5,3.4782608695652173,24.32608695652174,21.23260869565217,NYK,46,1.9391455576559544,0.0561941570564251,4.892968336483932,1.279264214046823,0.0955300669959227,1.7608695652173914,0.0505747413507826,13.608695652173914,0.3908615813035795,1.465426925091671,0.6986806860682195,0.6379558048847233,0.6179609013542791,-1
Zion Williamson,28.374666666666663,8.866666666666667,17.133333333333333,0.5078,0.1333333333333333,0.7333333333333333,0.0666666666666666,5.4,8.333333333333334,0.6210666666666668,2.933333333333333,4.933333333333334,7.866666666666666,4.933333333333334,1.2,1.1333333333333333,3.1333333333333333,2.7333333333333334,23.266666666666666,18.4,NOP,15,0.0488888888888888,0.0046825248173815,5.175555555555556,1.5257731958762888,0.1732534182431166,2.333333333333333,0.0819441843041768,7.866666666666667,0.2762689642255104,1.3500967117988394,0.8171005806330773,0.5579536370903276,0.840513204719985,-1
Domantas Sabonis,35.98520833333333,7.9375,13.25,0.6126666666666667,1.125,2.4375,0.4475625,3.395833333333333,4.416666666666667,0.6891458333333333,4.0,10.270833333333334,14.270833333333334,6.333333333333333,0.625,0.4375,3.020833333333333,3.5416666666666665,20.39583333333333,20.695833333333333,SAC,48,1.09093359375,0.0311762090884422,3.043727430555556,2.029372496662216,0.1755105104238232,1.0625,0.0294441974724177,14.270833333333334,0.3954759856589438,1.5277777777777777,0.5652131240293518,0.66900830964356,0.5047543718859875,-1
Jimmy Butler,30.6348,5.68,10.52,0.5259199999999999,0.52,1.44,0.30664,5.16,6.44,0.70624,2.2,3.04,5.24,4.8,1.08,0.4,1.2,0.92,17.04,17.04,MIA,25,0.4415616,0.0169189322852271,4.5481856,3.692307692307692,0.1561747595559431,1.48,0.0481538841964157,5.24,0.1704907791819045,1.6045197740112995,0.554420396423598,0.6356501238473246,0.4735218709736195,-1
